Timestamp,How do you identify yourself?,How old are you,Where do you live?,Pick your highest education level,Are you currently employed?,How long have you been using a smartphone?,Select your monthly income range,How many bank account do you have?,How many bank apps do you use?,How often do you visit a bank?,How long have you been using this mobile banking app?,Select all the services that you utilize,What is the highest transfer you have conducted through the mobile app (in LKR)?,Do you feel a sense of security when you operate the application?,What is your satisfaction with the additional charges related to the application?,What is your overall rating of the mobile app? (1 - worst and 5 - best),Do you see yourself continue using the app in the future?,Which bank does the app belong to?
02/11/2020 19:38:56,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,100000 - 150000,2,2,Every few months,6 months to 1 year,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile, Manage investments (Fixed deposits, Treasury bills, etc)",100000 to 500000,Yes,Fair,4,Yes,Commercial and People's
02/11/2020 19:39:00,Male,20 - 30,Central,Degree / Diploma,No,2-5 years,0 - 50000,4,2,Never,1-2 years,"Check balance, Transfer money, As a mode to recharge your mobile",Below 50000,Maybe,Unfair,2,Maybe,Seylan and BOC
02/11/2020 19:42:24,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,0 - 50000,1,1,Never,6 months to 1 year,"Check balance, Transfer money, As a mode to recharge your mobile",Below 50000,Yes,Unfair,2,Yes,Sampath
02/11/2020 19:42:42,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,100000 - 150000,5 +,1,Monthly,1-2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile, Manage investments (Fixed deposits, Treasury bills, etc)",100000 to 500000,Yes,Fair,5,Yes,HNB
02/11/2020 19:44:19,Male,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,50000 - 100000,3,3,Weekly,1-2 years,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",Below 50000,Maybe,Fair,4,Yes,
02/11/2020 19:47:26,Female,20 - 30,Western,Degree / Diploma,Yes,More than 5 years,100000 - 150000,4,1,Every few months,Less than 6 months,"Check balance, Pay utility bills, Transfer money",50000 to 100000,Yes,Unfair,3,Yes,Sampath Bank 
02/11/2020 19:47:39,Female,20 - 30,Western,Degree / Diploma,Yes,2-5 years,0 - 50000,2,1,Every few months,Less than 6 months,"Check balance, Pay utility bills, Transfer money",Below 50000,Maybe,Fair,2,Yes,
02/11/2020 19:48:09,Female,20 - 30,Western,Other,No,More than 5 years,0 - 50000,3,1,Every few months,Less than 6 months,"Check balance, Pay utility bills, Transfer money, Manage investments (Fixed deposits, Treasury bills, etc)",50000 to 100000,Yes,Fair,4,Yes,commercial
02/11/2020 19:49:55,Female,20 - 30,Western,A/L,No,More than 5 years,0 - 50000,4,2,Monthly,6 months to 1 year,"Check balance, Pay utility bills, Transfer money",Below 50000,Maybe,Unfair,3,Yes,"People’s Bank, Sampath bank"
02/11/2020 19:51:24,Male,20 - 30,Central,Degree / Diploma,Yes,More than 5 years,0 - 50000,5 +,1,Weekly,6 months to 1 year,"Check balance, Pay utility bills, Transfer money, As a mode to recharge your mobile",Below 50000,Maybe,Fair,4,Yes,Nations Trust Bank
